start,id_colums
2004-07-19 12:00:00,"0,1"
2004-07-19 12:00:00,"0,2"
2004-07-19 12:00:00,"0,3"
2004-07-19 12:00:00,"0,4"
2004-07-19 12:00:00,"0,5"
2004-07-19 12:00:00,"0,6"
2004-07-19 12:00:00,"0,7"
2004-07-19 12:00:00,"0,8"
2004-07-19 12:00:00,"0,10"
2004-07-19 12:00:00,"0,17"
2004-07-19 12:00:00,"0,18"
2004-07-19 12:00:00,"0,59"
2004-07-19 12:00:00,"0,87"
2004-07-19 12:00:00,"0,89"
2004-07-19 12:00:00,"1,2"
2004-07-19 12:00:00,"1,3"
2004-07-19 12:00:00,"1,4"
2004-07-19 12:00:00,"1,5"
2004-07-19 12:00:00,"1,6"
2004-07-19 12:00:00,"1,7"
2004-07-19 12:00:00,"1,8"
2004-07-19 12:00:00,"1,10"
2004-07-19 12:00:00,"1,17"
2004-07-19 12:00:00,"1,18"
2004-07-19 12:00:00,"1,59"
2004-07-19 12:00:00,"1,87"
2004-07-19 12:00:00,"1,89"
2004-07-19 12:00:00,"2,3"
2004-07-19 12:00:00,"2,4"
2004-07-19 12:00:00,"2,5"
2004-07-19 12:00:00,"2,6"
2004-07-19 12:00:00,"2,7"
2004-07-19 12:00:00,"2,8"
2004-07-19 12:00:00,"2,10"
2004-07-19 12:00:00,"2,17"
2004-07-19 12:00:00,"2,18"
2004-07-19 12:00:00,"2,59"
2004-07-19 12:00:00,"2,87"
2004-07-19 12:00:00,"2,89"
2004-07-19 12:00:00,"3,4"
2004-07-19 12:00:00,"3,5"
2004-07-19 12:00:00,"3,6"
2004-07-19 12:00:00,"3,7"
2004-07-19 12:00:00,"3,8"
2004-07-19 12:00:00,"3,10"
2004-07-19 12:00:00,"3,17"
2004-07-19 12:00:00,"3,18"
2004-07-19 12:00:00,"3,59"
2004-07-19 12:00:00,"3,87"
2004-07-19 12:00:00,"3,89"
2004-07-19 12:00:00,"4,5"
2004-07-19 12:00:00,"4,6"
2004-07-19 12:00:00,"4,7"
2004-07-19 12:00:00,"4,8"
2004-07-19 12:00:00,"4,10"
2004-07-19 12:00:00,"4,17"
2004-07-19 12:00:00,"4,59"
2004-07-19 12:00:00,"4,87"
