start,id_colums,intercontact,SpatialLoc

2004-07-19 12:00:00,"0,1",0.3275694444444443,2
2004-07-19 12:00:00,"0,2",0.0236111111111111,2
2004-07-19 12:00:00,"0,3",0.0,0
2004-07-19 12:00:00,"0,4",0.0,0
2004-07-19 12:00:00,"0,5",0.0,0
2004-07-19 12:00:00,"0,6",0.0,0
2004-07-19 12:00:00,"0,7",0.0,0
2004-07-19 12:00:00,"0,8",0.2093055555555555,4
2004-07-19 12:00:00,"0,10",0.0,0
2004-07-19 12:00:00,"0,17",0.0258333333333333,2
2004-07-19 12:00:00,"0,18",0.0313888888888888,2
2004-07-19 12:00:00,"0,59",0.1445138888888888,2
2004-07-19 12:00:00,"0,87",0.0,0
2004-07-19 12:00:00,"0,87",0.0,0
2004-07-19 12:00:00,"0,89",0.0,0
2004-07-19 12:00:00,"1,2",0.0,2
2004-07-19 12:00:00,"1,3",0.0,0
2004-07-19 12:00:00,"1,4",0.0,0
2004-07-19 12:00:00,"1,5",0.0,0
2004-07-19 12:00:00,"1,6",0.0,0
2004-07-19 12:00:00,"1,7",0.0,0
2004-07-19 12:00:00,"1,8",0.2659722222222221,2
2004-07-19 12:00:00,"1,10",0.0,0
2004-07-19 12:00:00,"1,17",0.0,0
2004-07-19 12:00:00,"1,18",0.0,0
2004-07-19 12:00:00,"1,59",1.4741666666666666,2
2004-07-19 12:00:00,"1,87",0.0,0
2004-07-19 12:00:00,"1,89",0.0,0
2004-07-19 12:00:00,"2,3",0.0,0
2004-07-19 12:00:00,"2,4",0.0,0
2004-07-19 12:00:00,"2,5",0.0,0
2004-07-19 12:00:00,"2,6",0.0,0
2004-07-19 12:00:00,"2,7",0.0,0
2004-08-19 06:00:00,"2,8",0.0,0
2004-08-19 06:00:00,"2,10",0.0,0
2004-08-19 06:00:00,"2,18",0.0,0
2004-08-19 06:00:00,"2,59",0.0,0
2004-08-19 06:00:00,"2,87",0.0,0
2004-08-19 06:00:00,"2,89",0.0,0
2004-08-19 06:00:00,"3,4",0.0,0
2004-08-19 06:00:00,"3,5",0.0,0
2004-08-19 06:00:00,"3,6",0.0,0
2004-08-19 06:00:00,"3,7",0.0,0
2004-08-19 06:00:00,"3,8",0.0,0
2004-08-19 06:00:00,"3,10",0.0,0
2004-08-19 06:00:00,"3,17",0.0,0
2004-08-19 06:00:00,"3,18",0.0,0
2004-08-19 12:00:00,"3,59",0.0,0
2004-08-19 12:00:00,"3,87",0.0,0
2004-08-19 12:00:00,"3,89",0.0,0
2004-08-19 12:00:00,"4,5",0.0,0
2004-08-19 12:00:00,"4,6",0.0,0
2004-08-19 12:00:00,"4,7",0.0,0
2004-08-19 12:00:00,"4,8",0.0,0
2004-08-19 12:00:00,"4,10",0.0,0
