time_window,id_pair
2004-07-19 12:00:00,"0,1"
2004-07-20 06:00:00,"0,2"
2004-07-20 12:00:00,"0,4"
2004-07-21 00:00:00,"0,5"
2004-07-21 06:00:00,"0,6"
2004-07-21 12:00:00,"0,7"
2004-07-22 00:00:00,"0,8"
2004-07-22 06:00:00,"0,9"
2004-07-22 12:00:00,"0,10"
2004-07-23 00:00:00,"0,11"
2004-07-23 06:00:00,"0,12"
2004-07-23 12:00:00,"0,13"
2004-07-26 06:00:00,"0,14"
2004-07-26 12:00:00,"0,15"
2004-07-26 18:00:00,"0,16"
2004-07-27 06:00:00,"0,17"
2004-07-27 12:00:00,"0,18"
2004-07-28 00:00:00,"0,19"
2004-07-28 06:00:00,"0,20"
2004-07-28 12:00:00,"0,21"
2004-07-29 06:00:00,"0,22"
2004-07-29 12:00:00,"0,23"
2004-07-30 06:00:00,"0,24"
2004-08-01 06:00:00,"0,25"
2004-08-02 06:00:00,"0,27"
2004-08-02 12:00:00,"0,28"
2004-08-02 18:00:00,"0,29"
2004-08-04 06:00:00,"0,30"
2004-08-04 12:00:00,"0,32"
2004-08-08 18:00:00,"0,35"
2004-08-09 00:00:00,"0,40"
2004-08-09 06:00:00,"0,42"
2004-08-09 12:00:00,"0,43"
2004-08-10 00:00:00,"0,44"
2004-08-10 06:00:00,"0,45"
2004-08-10 12:00:00,"0,46"
2004-08-11 00:00:00,"0,53"
2004-08-11 06:00:00,"0,54"
2004-08-11 12:00:00,"0,55"
2004-08-12 06:00:00,"0,56"
2004-08-12 12:00:00,"0,58"
2004-08-12 18:00:00,"0,59"
2004-08-13 00:00:00,"0,60"
2004-08-13 06:00:00,"0,61"
2004-08-13 12:00:00,"0,62"
2004-08-13 18:00:00,"0,66"
2004-08-14 00:00:00,"0,68"
2004-08-14 06:00:00,"0,69"
2004-08-14 12:00:00,"0,70"
2004-08-14 18:00:00,"0,71"
2004-08-15 06:00:00,"0,72"
2004-08-15 12:00:00,"0,75"
2004-08-15 18:00:00,"0,76"
2004-08-16 00:00:00,"0,79"
2004-08-16 06:00:00,"0,80"
2004-08-16 12:00:00,"0,81"
2004-08-16 18:00:00,"0,82"
2004-08-17 00:00:00,"0,83"
2004-08-17 06:00:00,"0,85"
2004-08-17 12:00:00,"0,86"
2004-08-17 18:00:00,"0,87"
2004-08-18 00:00:00,"0,88"
2004-08-18 06:00:00,"0,89"
2004-08-18 12:00:00,"1,2"
2004-08-18 18:00:00,"1,3"
2004-08-19 06:00:00,"1,4"
2004-08-19 12:00:00,"1,5"
2004-08-19 18:00:00,"1,6"
2004-08-20 00:00:00,"1,7"
2004-08-20 06:00:00,"1,8"
2004-08-20 12:00:00,"1,9"
2004-08-20 18:00:00,"1,10"
2004-08-21 06:00:00,"1,11"
2004-08-21 12:00:00,"1,12"
2004-08-21 18:00:00,"1,13"
2004-08-22 00:00:00,"1,15"
2004-08-22 06:00:00,"1,16"
2004-08-22 12:00:00,"1,17"
2004-08-22 18:00:00,"1,18"
2004-08-23 00:00:00,"1,19"
2004-08-23 06:00:00,"1,20"
2004-08-23 12:00:00,"1,21"
2004-08-23 18:00:00,"1,24"
2004-08-24 00:00:00,"1,25"
2004-08-24 06:00:00,"1,27"
2004-08-24 12:00:00,"1,28"
2004-08-24 18:00:00,"1,29"
2004-08-25 00:00:00,"1,30"
2004-08-25 06:00:00,"1,32"
2004-08-25 12:00:00,"1,35"
2004-08-25 18:00:00,"1,40"
2004-08-26 00:00:00,"1,42"
2004-08-26 06:00:00,"1,43"
2004-08-26 12:00:00,"1,44"
2004-08-26 18:00:00,"1,45"
2004-08-27 00:00:00,"1,46"
2004-08-27 06:00:00,"1,53"
2004-08-27 12:00:00,"1,54"
2004-08-27 18:00:00,"1,55"
2004-08-28 00:00:00,"1,56"
2004-08-28 06:00:00,"1,58"
2004-08-28 12:00:00,"1,59"
